   n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11
n0 0, 99, 2, 99, 10, 6, 7, 8, 9, 1, 2, 5
n1 4, 0, 3, 99, 10, 6, 7, 8, 9, 1, 3, 9
n2 99, 99, 0, 2, 10, 6, 7, 8, 9, 1, 4, 2
n3 99, 1, 99, 0, 10, 6, 7, 8, 9, 1, 6, 6
n4 99, 99, 0, 2, 10, 6, 7, 8, 9, 1, 7, 4
n5 4, 0, 3, 99, 10, 6, 7, 8, 9, 1, 8, 8
n6 4, 0, 3, 99, 10, 6, 7, 8, 9, 1, 2, 2
n7 99, 99, 0, 2, 10, 6, 7, 8, 9, 1, 6, 6
n8 0, 99, 2, 99, 10, 6, 7, 8, 9, 1, 3, 4
n9 0, 99, 2, 99, 10, 6, 7, 8, 9, 1, 7, 7
n10 4, 0, 3, 99, 10, 6, 7, 8, 9, 1, 2, 9
n11 4, 0, 3, 99, 10, 6, 7, 8, 9, 1, 2, 2
